,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
990,European Journal of Population-Revue Europeenne de Demographie,0168-6577,1572-9885,2.5,Q2,DEMOGRAPHY - SSCI (Q2),0.00191,2.2,,,,,,,,,,,,,
991,EUROPEAN JOURNAL OF PSYCHIATRY,0213-6163,0213-6163,1.8,Q4,PSYCHIATRY - SSCI (Q4),0.00035,3.35,European Journal of Psychiatry,11.05,4.2,21.6,['Psychiatry and Mental Health'],True,29,11,,124,152,,
992,EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,1015-5759,2151-2426,2.5,Q3,"PSYCHOLOGY, APPLIED - SSCI (Q3)",0.00282,3.2,,,,,,,,,,,,,
993,European Journal of Psychology Applied to Legal Context,1889-1861,1989-4007,9.5,Q1,"LAW - SSCI (Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.00062,1.85,,,,,,,,,,,,,
994,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,0256-2928,1878-5174,3.0,Q2,"PSYCHOLOGY, EDUCATIONAL - SSCI (Q2)",0.00216,2.6,,,,,,,,,,,,,
995,European Journal of Psychology Open,2673-8627,2673-8627,2.4,Q2,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q2)",3e-05,2.4,,,,,,,,,,,,,
996,European Journal of Psychotraumatology,2000-8198,2000-8066,5.0,Q1,"PSYCHIATRY - SSCI (Q2); PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.00882,3.08,,,,,,,,,,,,,
997,EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,1464-360X,4.4,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.01152,3.05,,,,,,,,,,,,,
998,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,0046-2772,1099-0992,3.9,Q2,"PSYCHOLOGY, SOCIAL - SSCI (Q2)",0.00717,2.7,,,,,,,,,,,,,
999,European Journal of Social Theory,1368-4310,1461-7137,2.1,Q2,SOCIOLOGY - SSCI (Q2),0.00181,2.1,,,,,,,,,,,,,
1000,European Journal of Social Work,1369-1457,1468-2664,1.5,Q4,SOCIAL WORK - SSCI (Q4),0.00152,1.8,,,,,,,,,,,,,
1001,European Journal of Special Needs Education,0885-6257,1469-591X,2.6,Q1,"EDUCATION, SPECIAL - SSCI (Q1)",0.00167,2.0,,,,,,,,,,,,,
1002,European Journal of Teacher Education,0261-9768,1469-5928,6.1,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00309,2.4,,,,,,,,,,,,,
1003,European Journal of the History of Economic Thought,0967-2567,1469-5936,0.7,Q3,ECONOMICS - SSCI (Q4); HISTORY OF SOCIAL SCIENCES - SSCI (Q3),0.00063,1.45,,,,,,,,,,,,,
1004,European Journal of Transport and Infrastructure Research,1567-7133,1567-7141,1.7,Q4,TRANSPORTATION - SSCI (Q4),0.00036,4.1,,,,,,,,,,,,,
1005,EUROPEAN JOURNAL OF WOMENS STUDIES,1350-5068,1461-7420,1.4,Q3,WOMENS STUDIES - SSCI (Q3),0.00129,1.6,,,,,,,,,,,,,
1006,European Journal of Work and Organizational Psychology,1359-432X,1464-0643,4.3,Q2,"MANAGEMENT - SSCI (Q3); PSYCHOLOGY, APPLIED - SSCI (Q2)",0.00493,4.0,,,,,,,,,,,,,
1007,European Journal on Criminal Policy and Research,0928-1371,1572-9869,1.7,Q3,CRIMINOLOGY & PENOLOGY - SSCI (Q3),0.00092,1.8,,,,,,,,,,,,,
1008,European Law Journal,1351-5993,1468-0386,1.9,Q2,LAW - SSCI (Q2),0.00082,1.3,,,,,,,,,,,,,
1009,European Law Review,0307-5400,,1.0,Q3,LAW - SSCI (Q3),0.00054,1.3,,,,,,,,,,,,,
1010,European Management Journal,0263-2373,1873-5681,7.5,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.00422,4.8,European Management Journal,8.63,5.8,38.3,['Strategy and Management'],True,40,8,,232,409,5,
1011,European Management Review,1740-4754,1740-4762,3.7,Q3,MANAGEMENT - SSCI (Q3),0.00164,4.8,,,,,,,,,,,,,
1012,European Physical Education Review,1356-336X,1741-2749,3.4,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00158,2.4,,,,,,,,,,,,,
1013,EUROPEAN PLANNING STUDIES,0965-4313,1469-5944,2.8,Q2,ENVIRONMENTAL STUDIES - SSCI (Q3); GEOGRAPHY - SSCI (Q2); REGIONAL & URBAN PLANNING - SSCI (Q3); URBAN STUDIES - SSCI (Q3),0.005,2.85,,,,,,,,,,,,,
1014,European Political Science,1680-4333,1682-0983,2.0,Q2,POLITICAL SCIENCE - SSCI (Q2),0.00148,1.9,,,,,,,,,,,,,
1015,European Political Science Review,1755-7739,1755-7747,3.2,Q1,POLITICAL SCIENCE - SSCI (Q1),0.00243,1.9,,,,,,,,,,,,,
1016,EUROPEAN PSYCHIATRY,0924-9338,1778-3585,7.8,Q1,PSYCHIATRY - SSCI (Q1),0.00886,3.35,,,,,,,,,,,,,
1017,EUROPEAN PSYCHOLOGIST,1016-9040,1878-531X,4.6,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.00183,2.4,,,,,,,,,,,,,
1018,European Research on Management and Business Economics,2444-8834,2444-8842,5.8,Q1,BUSINESS - SSCI (Q2); ECONOMICS - SSCI (Q1); MANAGEMENT - SSCI (Q2),0.00095,3.9,European Research on Management and Business Economics,4.88,11.0,6.1,"['Business and International Management', 'Economics and Econometrics', 'Strategy and Management', 'Marketing']",,77,4,,,,,
1019,European Review,1062-7987,1474-0575,0.4,Q4,AREA STUDIES - SSCI (Q4),0.0006,1.0,,,,,,,,,,,,,
1020,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,1464-3618,3.4,Q2,ECONOMICS - SSCI (Q2),0.00227,2.1,,,,,,,,,,,,,
1021,EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1162-9088,1162-9088,1.0,Q4,"PSYCHOLOGY, APPLIED - SSCI (Q4)",0.00032,3.2,,,,,,,,,,,,,
1022,European Review of Economic History,1361-4916,1474-0044,1.4,Q1,ECONOMICS - SSCI (Q3); HISTORY OF SOCIAL SCIENCES - SSCI (Q1),0.00169,1.45,,,,,,,,,,,,,
1023,European Review of Social Psychology,1046-3283,1479-277X,7.2,Q1,"PSYCHOLOGY, SOCIAL - SSCI (Q1)",0.00197,2.7,,,,,,,,,,,,,
1024,European Security,0966-2839,1746-1545,1.6,Q2,AREA STUDIES - SSCI (Q2); INTERNATIONAL RELATIONS - SSCI (Q3); POLITICAL SCIENCE - SSCI (Q3),0.00113,1.57,,,,,,,,,,,,,
1025,EUROPEAN SOCIETIES,1461-6696,1469-8307,8.1,Q1,SOCIOLOGY - SSCI (Q1),0.00384,2.1,,,,,,,,,,,,,
1026,EUROPEAN SOCIOLOGICAL REVIEW,0266-7215,1468-2672,3.2,Q1,SOCIOLOGY - SSCI (Q1),0.00473,2.1,,,,,,,,,,,,,
1027,European Sport Management Quarterly,1618-4742,1746-031X,3.4,Q3,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q3)",0.00178,3.6,,,,,,,,,,,,,
1028,European Transport Research Review,1867-0717,1866-8887,4.3,Q2,TRANSPORTATION - SSCI (Q2),0.00213,4.1,,,,,,,,,,,,,
1029,EUROPEAN UNION POLITICS,1465-1165,1741-2757,2.3,Q2,POLITICAL SCIENCE - SSCI (Q2),0.00218,1.9,,,,,,,,,,,,,
1030,EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764,1461-7145,3.1,Q2,ENVIRONMENTAL STUDIES - SSCI (Q3); REGIONAL & URBAN PLANNING - SSCI (Q3); URBAN STUDIES - SSCI (Q2),0.00156,3.0,,,,,,,,,,,,,
1031,EUROPE-ASIA STUDIES,0966-8136,1465-3427,1.4,Q2,AREA STUDIES - SSCI (Q2); ECONOMICS - SSCI (Q3); POLITICAL SCIENCE - SSCI (Q3),0.00283,1.67,,,,,,,,,,,,,
1032,Evaluation,1356-3890,1461-7153,2.4,Q2,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00086,1.9,,,,,,,,,,,,,
1033,EVALUATION & THE HEALTH PROFESSIONS,0163-2787,1552-3918,2.9,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.00129,2.8,,,,,,,,,,,,,
1034,EVALUATION AND PROGRAM PLANNING,0149-7189,1873-7870,1.6,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.00253,1.9,Evaluation and Program Planning,30.98,15.6,4.1,"['Business and International Management', 'Social Psychology', 'Geography, Planning and Development', 'Strategy and Management', 'Public Health, Environmental and Occupational Health']",True,109,30,,,404,3,31%
1035,EVALUATION REVIEW,0193-841X,1552-3926,0.9,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00063,1.9,,,,,,,,,,,,,
1036,Evidence & Policy,1744-2648,1744-2656,2.1,Q2,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00102,1.9,,,,,,,,,,,,,
1037,EVOLUTION AND HUMAN BEHAVIOR,1090-5138,1879-0607,5.1,Q1,"PSYCHOLOGY, BIOLOGICAL - SSCI (Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q1)",0.00503,2.35,Evolution and Human Behavior,17.5,7.1,10.0,"['Ecology, Evolution, Behavior and Systematics', 'Experimental and Cognitive Psychology', 'Arts and Humanities miscellaneous']",True,49,17,,190,257,15,
1038,EVOLUTION PSYCHIATRIQUE,0014-3855,1769-6674,0.6,Q4,PSYCHIATRY - SSCI (Q4),9e-05,3.35,Evolution Psychiatrique,45.54,13.1,23.4,"['Arts and Humanities all', 'Psychiatry and Mental Health']",True,91,45,,,73,,46%
1039,EVOLUTIONARY ANTHROPOLOGY,1060-1538,1520-6505,3.7,Q1,ANTHROPOLOGY - SSCI (Q1),0.00183,1.2,,,,,,,,,,,,,
1040,Evolutionary Psychology,1474-7049,1474-7049,1.5,Q4,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q4)",0.00102,2.4,,,,,,,,,,,,,
1041,EXCEPTIONAL CHILDREN,0014-4029,2163-5560,2.8,Q1,"EDUCATION, SPECIAL - SSCI (Q1); REHABILITATION - SSCI (Q1)",0.00184,1.98,,,,,,,,,,,,,
1042,Exceptionality,0936-2835,1532-7035,1.3,Q4,"EDUCATION, SPECIAL - SSCI (Q4)",0.00063,2.0,,,,,,,,,,,,,
1043,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,2.3,Q3,"PSYCHOLOGY, BIOLOGICAL - SSCI (Q3); PSYCHOLOGY, CLINICAL - SSCI (Q3)",0.00264,2.65,,,,,,,,,,,,,
1044,EXPERIMENTAL ECONOMICS,1386-4157,1573-6938,2.3,Q2,ECONOMICS - SSCI (Q2),0.00501,2.1,,,,,,,,,,,,,
1045,EXPERIMENTAL PSYCHOLOGY,1618-3169,2190-5142,1.3,Q4,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q4)",0.00089,2.4,,,,,,,,,,,,,
1046,Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,2.3,Q3,HEALTH POLICY & SERVICES - SSCI (Q3),0.00256,2.8,,,,,,,,,,,,,
1047,EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,1090-2457,2.3,Q1,ECONOMICS - SSCI (Q2); HISTORY OF SOCIAL SCIENCES - SSCI (Q1),0.00264,1.45,Explorations in Economic History,14.29,5.5,18.9,"['History', 'Economics and Econometrics']",True,38,14,,,267,5,
1048,Extractive Industries and Society,2214-790X,2214-7918,3.1,Q3,ENVIRONMENTAL STUDIES - SSCI (Q3),0.00431,3.2,Extractive Industries and Society,39.51,5.2,17.8,"['Geography, Planning and Development', 'Development', 'Economic Geology', 'Management, Monitoring, Policy and Law']",True,36,39,,,143,13,
1049,Families In Society-The Journal of Contemporary Social Services,1044-3894,1945-1350,0.9,Q4,FAMILY STUDIES - SSCI (Q4); SOCIAL WORK - SSCI (Q4),0.00068,2.0,,,,,,,,,,,,,
1050,Families Relationships and Societies,2046-7435,2046-7443,1.4,Q4,FAMILY STUDIES - SSCI (Q4),0.00045,2.2,,,,,,,,,,,,,
1051,Families Systems & Health,1091-7527,1939-0602,1.3,Q4,"FAMILY STUDIES - SSCI (Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00109,2.63,,,,,,,,,,,,,
1052,FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,2.3,Q2,"FAMILY STUDIES - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.0012,2.63,,,,,,,,,,,,,
1053,Family Business Review,0894-4865,1741-6248,8.8,Q1,BUSINESS - SSCI (Q1),0.0018,4.8,,,,,,,,,,,,,
1054,FAMILY PROCESS,0014-7370,1545-5300,3.9,Q1,"FAMILY STUDIES - SSCI (Q1); PSYCHOLOGY, CLINICAL - SSCI (Q2)",0.00436,2.5,,,,,,,,,,,,,
1055,FAMILY RELATIONS,0197-6664,1741-3729,2.2,Q2,FAMILY STUDIES - SSCI (Q2); SOCIAL WORK - SSCI (Q2),0.00262,2.0,,,,,,,,,,,,,
1056,FEDERAL RESERVE BANK OF ST LOUIS REVIEW,0014-9187,2163-4505,1.7,Q3,"BUSINESS, FINANCE - SSCI (Q3); ECONOMICS - SSCI (Q3)",0.00069,2.45,,,,,,,,,,,,,
1057,FEMINISM & PSYCHOLOGY,0959-3535,1461-7161,5.4,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1); WOMENS STUDIES - SSCI (Q1)",0.00194,2.0,,,,,,,,,,,,,
1058,Feminist Criminology,1557-0851,1557-086X,2.5,Q2,CRIMINOLOGY & PENOLOGY - SSCI (Q2),0.00123,1.8,,,,,,,,,,,,,
1059,FEMINIST ECONOMICS,1354-5701,1466-4372,4.6,Q1,ECONOMICS - SSCI (Q1); WOMENS STUDIES - SSCI (Q1),0.00258,1.85,,,,,,,,,,,,,
1060,Feminist Legal Studies,0966-3622,1572-8455,2.8,Q1,LAW - SSCI (Q1); WOMENS STUDIES - SSCI (Q1),0.00053,1.45,,,,,,,,,,,,,
1061,Feminist Media Studies,1468-0777,1471-5902,1.7,Q2,COMMUNICATION - SSCI (Q3); WOMENS STUDIES - SSCI (Q2),0.00502,2.1,,,,,,,,,,,,,
1062,FEMINIST REVIEW,0141-7789,1466-4380,1.8,Q2,WOMENS STUDIES - SSCI (Q2),0.00107,1.6,,,,,,,,,,,,,
1063,Feminist Theory,1464-7001,1741-2773,2.1,Q2,WOMENS STUDIES - SSCI (Q2),0.00153,1.6,,,,,,,,,,,,,
1064,Feministische Studien,0723-5186,2365-9920,0.2,Q4,WOMENS STUDIES - SSCI (Q4),2e-05,1.6,,,,,,,,,,,,,
1065,Field Methods,1525-822X,1552-3969,1.7,Q2,"ANTHROPOLOGY - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.0015,1.55,,,,,,,,,,,,,
1066,Filosofija-Sociologija,0235-7186,0235-7186,0.3,Q4,SOCIOLOGY - SSCI (Q4),0.00013,2.1,,,,,,,,,,,,,
1067,FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,0015-1920,0015-1920,0.5,Q4,"BUSINESS, FINANCE - SSCI (Q4)",8e-05,2.8,,,,,,,,,,,,,
1068,FINANCE AND STOCHASTICS,0949-2984,1432-1122,1.7,Q3,"BUSINESS, FINANCE - SSCI (Q3); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI (Q3)",0.00202,2.3,,,,,,,,,,,,,
1069,Finance Research Letters,1544-6123,1544-6131,10.4,Q1,"BUSINESS, FINANCE - SSCI (Q1)",0.01564,2.8,Finance Research Letters,28.31,4.8,16.6,['Finance'],True,33,28,,40,72,4,28%
1070,FINANCIAL ANALYSTS JOURNAL,0015-198X,1938-3312,2.8,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.00172,2.8,,,,,,,,,,,,,
1071,Financial Innovation,,2199-4730,8.4,Q1,"BUSINESS, FINANCE - SSCI (Q1); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI (Q1)",0.00187,2.3,,,,,,,,,,,,,
1072,FINANCIAL MANAGEMENT,0046-3892,1755-053X,2.8,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.00229,2.8,,,,,,,,,,,,,
1073,FinanzArchiv,0015-2218,1614-0974,0.5,Q4,"BUSINESS, FINANCE - SSCI (Q4); ECONOMICS - SSCI (Q4)",0.00013,2.45,,,,,,,,,,,,,
1074,First Language,0142-7237,1740-2344,1.9,Q2,"LINGUISTICS - SSCI (Q2); PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q4)",0.00101,1.9,,,,,,,,,,,,,
1075,FISCAL STUDIES,0143-5671,1475-5890,7.3,Q1,"BUSINESS, FINANCE - SSCI (Q1); ECONOMICS - SSCI (Q1)",0.00255,2.45,,,,,,,,,,,,,
1076,Focaal-Journal of Global and Historical Anthropology,0920-1297,1558-5263,1.1,Q3,ANTHROPOLOGY - SSCI (Q3),0.00091,1.2,,,,,,,,,,,,,
1077,Focus on Autism and Other Developmental Disabilities,1088-3576,1538-4829,2.0,Q2,"EDUCATION, SPECIAL - SSCI (Q2); PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q3); REHABILITATION - SSCI (Q2)",0.00084,2.18,,,,,,,,,,,,,
1078,FOLIA LINGUISTICA,0165-4004,1614-7308,0.6,Q3,LINGUISTICS - SSCI (Q3),0.00067,1.2,,,,,,,,,,,,,
1079,FOLIA PHONIATRICA ET LOGOPAEDICA,1021-7762,1421-9972,1.0,Q4,REHABILITATION - SSCI (Q4),0.00055,1.95,,,,,,,,,,,,,
1080,FOOD AND DRUG LAW JOURNAL,1064-590X,1064-590X,0.2,Q4,LAW - SSCI (Q4),0.00013,1.3,,,,,,,,,,,,,
1081,Food Culture & Society,1552-8014,1751-7443,1.0,Q4,SOCIOLOGY - SSCI (Q4),0.001,2.1,,,,,,,,,,,,,
1082,FOOD POLICY,0306-9192,1873-5657,6.5,Q1,ECONOMICS - SSCI (Q1),0.00997,2.1,Food Policy,9.26,5.3,6.9,"['Food Science', 'Development', 'Sociology and Political Science', 'Economics and Econometrics', 'Management, Monitoring, Policy and Law']",True,37,9,,107,302,,
1083,FORDHAM LAW REVIEW,0015-704X,0015-704X,0.8,Q3,LAW - SSCI (Q3),0.00167,1.3,,,,,,,,,,,,,
1084,FOREIGN AFFAIRS,0015-7120,,7.5,Q1,INTERNATIONAL RELATIONS - SSCI (Q1),0.00672,1.8,,,,,,,,,,,,,
1085,FOREIGN LANGUAGE ANNALS,0015-718X,1944-9720,2.7,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); LINGUISTICS - SSCI (Q1),0.00199,1.8,,,,,,,,,,,,,
1086,Foreign Policy Analysis,1743-8586,1743-8594,2.2,Q2,INTERNATIONAL RELATIONS - SSCI (Q2),0.00192,1.8,,,,,,,,,,,,,
1087,Forest Policy and Economics,1389-9341,1872-7050,4.0,Q1,ECONOMICS - SSCI (Q1); ENVIRONMENTAL STUDIES - SSCI (Q2),0.00583,2.65,Forest Policy and Economics,20.73,5.5,2.0,"['Forestry', 'Sociology and Political Science', 'Economics and Econometrics', 'Management, Monitoring, Policy and Law']",True,38,20,,,217,12,
1088,FORUM DER PSYCHOANALYSE,0178-7667,1437-0751,0.5,Q3,"PSYCHOLOGY, PSYCHOANALYSIS - SSCI (Q3)",0.00013,0.6,,,,,,,,,,,,,
1089,Forum-A Journal of Applied Research in Contemporary Politics,2194-6183,1540-8884,0.8,Q4,POLITICAL SCIENCE - SSCI (Q4),0.00073,1.9,,,,,,,,,,,,,
1090,French Cultural Studies,0957-1558,1740-2352,0.4,Q3,CULTURAL STUDIES - SSCI (Q3),0.00048,1.0,,,,,,,,,,,,,
1091,French History,0269-1191,1477-4542,0.2,Q4,HISTORY - SSCI (Q4),0.00031,0.6,,,,,,,,,,,,,
1092,Frontiers in Psychiatry,1664-0640,1664-0640,4.7,Q2,PSYCHIATRY - SSCI (Q2),0.06122,3.35,,,,,,,,,,,,,
1093,Frontiers in Psychology,1664-1078,1664-1078,3.8,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.14994,2.4,,,,,,,,,,,,,
1094,Frontiers in Public Health,,2296-2565,5.2,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.04458,3.05,,,,,,,,,,,,,
1095,FRONTIERS-A JOURNAL OF WOMEN STUDIES,0160-9009,1536-0334,1.2,Q3,WOMENS STUDIES - SSCI (Q3),0.00045,1.6,,,,,,,,,,,,,
1096,Functions of Language,0929-998X,1569-9765,0.5,Q4,LINGUISTICS - SSCI (Q4),0.00031,1.2,,,,,,,,,,,,,
1097,Futures,0016-3287,1873-6378,3.0,Q2,ECONOMICS - SSCI (Q2); REGIONAL & URBAN PLANNING - SSCI (Q3),0.00388,2.6,Futures,17.85,7.5,2.7,"['Business and International Management', 'Development', 'Sociology and Political Science']",True,52,17,,,354,7,
1098,Gaceta Sanitaria,0213-9111,1578-1283,1.9,Q3,"HEALTH POLICY & SERVICES - SSCI (Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00212,2.92,Gaceta Sanitaria,20.14,1.6,36.7,"['Public Health, Environmental and Occupational Health']",True,11,20,2,89,98,,20%
1099,GAIA-Ecological Perspectives for Science and Society,0940-5550,2625-5413,1.6,Q4,ENVIRONMENTAL STUDIES - SSCI (Q4),0.00071,3.2,,,,,,,,,,,,,
1100,Games and Culture,1555-4120,1555-4139,2.8,Q1,COMMUNICATION - SSCI (Q2); CULTURAL STUDIES - SSCI (Q1),0.00226,1.8,,,,,,,,,,,,,
1101,GAMES AND ECONOMIC BEHAVIOR,0899-8256,1090-2473,1.1,Q4,ECONOMICS - SSCI (Q4),0.00994,2.1,Games and Economic Behavior,19.7,13.7,4.9,"['Finance', 'Economics and Econometrics']",True,95,19,,,499,6,
1102,Games for Health Journal,2161-783X,2161-7856,3.5,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2); REHABILITATION - SSCI (Q1)",0.0014,2.5,,,,,,,,,,,,,
1103,Gastroenterology Nursing,1042-895X,1538-9766,0.8,Q4,NURSING - SSCI (Q4),0.00053,2.0,,,,,,,,,,,,,
1104,Gedrag & Organisatie,0921-5077,1875-7235,0.5,Q4,"PSYCHOLOGY, APPLIED - SSCI (Q4); PSYCHOLOGY, SOCIAL - SSCI (Q4)",3e-05,2.95,,,,,,,,,,,,,
1105,GENDER & SOCIETY,0891-2432,1552-3977,5.5,Q1,SOCIOLOGY - SSCI (Q1); WOMENS STUDIES - SSCI (Q1),0.00457,1.85,,,,,,,,,,,,,
1106,GENDER AND EDUCATION,0954-0253,1360-0516,2.2,Q3,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3),0.00298,2.4,,,,,,,,,,,,,
1107,Gender and History,0953-5233,1468-0424,0.5,Q3,HISTORY - SSCI (Q3); WOMENS STUDIES - SSCI (Q4),0.00118,1.1,,,,,,,,,,,,,
1108,Gender and Language,1747-6321,1747-633X,1.3,Q2,LINGUISTICS - SSCI (Q2); WOMENS STUDIES - SSCI (Q3),0.00067,1.4,,,,,,,,,,,,,
1109,Gender in Management,1754-2413,1754-2421,3.7,Q1,BUSINESS - SSCI (Q3); MANAGEMENT - SSCI (Q3); WOMENS STUDIES - SSCI (Q1),0.0014,3.73,,,,,,,,,,,,,
1110,Gender Place and Culture,0966-369X,1360-0524,1.8,Q2,GEOGRAPHY - SSCI (Q3); WOMENS STUDIES - SSCI (Q2),0.00428,2.0,,,,,,,,,,,,,
1111,GENDER WORK AND ORGANIZATION,0968-6673,1468-0432,5.8,Q1,MANAGEMENT - SSCI (Q2); WOMENS STUDIES - SSCI (Q1),0.00805,3.2,,,,,,,,,,,,,
1112,GENERAL HOSPITAL PSYCHIATRY,0163-8343,1873-7714,7.0,Q1,PSYCHIATRY - SSCI (Q1),0.00654,3.35,General Hospital Psychiatry,16.37,1.5,6.2,['Psychiatry and Mental Health'],True,10,16,4,54,73,5,
1113,Generations,0738-7806,2694-5126,0.2,Q4,GERONTOLOGY - SSCI (Q4),0.00038,2.7,,,,,,,,,,,,,
1114,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,1018-5895,1468-0440,1.6,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00052,2.8,,,,,,,,,,,,,
1115,Geneva Risk and Insurance Review,1554-964X,1554-9658,1.5,Q3,"BUSINESS, FINANCE - SSCI (Q4); ECONOMICS - SSCI (Q3)",0.00027,2.45,,,,,,,,,,,,,
1116,Geodetski Vestnik,0351-0271,1581-1328,0.3,Q4,GEOGRAPHY - SSCI (Q4),6e-05,2.4,,,,,,,,,,,,,
1117,GEOFORUM,0016-7185,1872-9398,3.5,Q2,GEOGRAPHY - SSCI (Q2),0.01453,2.4,Geoforum,16.32,6.6,28.0,['Sociology and Political Science'],True,46,16,,,316,15,
1118,Geografie,,1212-0014,0.9,Q4,GEOGRAPHY - SSCI (Q4),0.00017,2.4,,,,,,,,,,,,,
1119,Geografisk Tidsskrift-Danish Journal of Geography,0016-7223,1903-2471,2.3,Q3,ENVIRONMENTAL STUDIES - SSCI (Q3); GEOGRAPHY - SSCI (Q3),0.00024,2.8,,,,,,,,,,,,,
1120,GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,0435-3684,1468-0467,1.4,Q4,GEOGRAPHY - SSCI (Q4),0.00062,2.4,,,,,,,,,,,,,
1121,GEOGRAPHICAL ANALYSIS,0016-7363,1538-4632,3.6,Q2,GEOGRAPHY - SSCI (Q2),0.00132,2.4,,,,,,,,,,,,,
1122,GEOGRAPHICAL JOURNAL,0016-7398,1475-4959,3.0,Q2,GEOGRAPHY - SSCI (Q2),0.00156,2.4,,,,,,,,,,,,,
1123,Geographical Research,1745-5863,1745-5871,3.3,Q2,GEOGRAPHY - SSCI (Q2),0.00136,2.4,,,,,,,,,,,,,
1124,GEOGRAPHICAL REVIEW,0016-7428,1931-0846,2.0,Q3,GEOGRAPHY - SSCI (Q3),0.00117,2.4,,,,,,,,,,,,,
1125,GEOGRAPHY,0016-7487,2043-6564,1.4,Q4,GEOGRAPHY - SSCI (Q4),0.00026,2.4,,,,,,,,,,,,,
1126,Geography Compass,1749-8198,1749-8198,3.1,Q2,GEOGRAPHY - SSCI (Q2),0.00367,2.4,,,,,,,,,,,,,
1127,Geopolitics,1465-0045,1557-3028,2.9,Q2,GEOGRAPHY - SSCI (Q2); POLITICAL SCIENCE - SSCI (Q2),0.00398,2.15,,,,,,,,,,,,,
1128,GEORGE WASHINGTON LAW REVIEW,0016-8076,0016-8076,1.5,Q2,LAW - SSCI (Q2),0.00135,1.3,,,,,,,,,,,,,
1129,GEORGETOWN LAW JOURNAL,0016-8092,0016-8092,2.0,Q2,LAW - SSCI (Q2),0.00184,1.3,,,,,,,,,,,,,
