Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,Column1
INDUSTRIAL MARKETING MANAGEMENT,0019-8501,1873-2062,10.3,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01185,4.8,
INDUSTRIAL RELATIONS,0019-8676,1468-232X,2.3,Q3,INDUSTRIAL RELATIONS & LABOR - SSCI (Q3),0.00089,2.6,
Industry and Innovation,1366-2716,1469-8390,3.9,Q1,ECONOMICS - SSCI (Q1); MANAGEMENT - SSCI (Q3),0.00221,3.45,
INFANCY,1525-0008,1532-7078,2.6,Q2,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q2)",0.00221,2.6,
INFANT AND CHILD DEVELOPMENT,1522-7227,1522-7219,2.2,Q3,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q3)",0.00182,2.6,
INFANT BEHAVIOR & DEVELOPMENT,0163-6383,1879-0453,2.1,Q3,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q3)",0.00294,2.6,
INFANT MENTAL HEALTH JOURNAL,0163-9641,1097-0355,2.4,Q3,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q3)",0.00175,2.6,
Infants & Young Children,0896-3746,1550-5081,1.1,Q4,"EDUCATION, SPECIAL - SSCI (Q4); PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q4); REHABILITATION - SSCI (Q4)",0.00045,2.18,
Informacao & Sociedade-Estudos,0104-0146,1809-4783,0.3,Q4,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q4),0.00024,2.8,
Informacios Tarsadalom,1587-8694,N/A,0.3,Q4,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q4),6.00E-05,2.8,
Information & Culture,2164-8034,2166-3033,0.6,Q3,HISTORY OF SOCIAL SCIENCES - SSCI (Q3); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q4),0.00013,1.8,
INFORMATION & MANAGEMENT,0378-7206,1872-7530,9.9,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.00834,3.8,
Information and Organization,1471-7727,1873-7919,6.3,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1); MANAGEMENT - SSCI (Q2),0.00178,3.8,
Information Communication & Society,1369-118X,1468-4462,4.2,Q1,COMMUNICATION - SSCI (Q1); SOCIOLOGY - SSCI (Q1),0.01534,2.35,
Information Development,0266-6669,1741-6469,1.9,Q3,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q3),0.00103,2.8,
INFORMATION ECONOMICS AND POLICY,0167-6245,1873-5975,2.8,Q2,ECONOMICS - SSCI (Q2),0.00124,2.1,
INFORMATION PROCESSING & MANAGEMENT,0306-4573,1873-5371,8.6,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1),0.00972,2.8,
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,1368-1613,1368-1613,0.8,Q4,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q4),0.00079,2.8,
INFORMATION SOCIETY,0197-2243,1087-6537,3.5,Q2,COMMUNICATION - SSCI (Q2); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q2),0.00146,2.7,
Information Systems and E-Business Management,1617-9846,1617-9854,3.6,Q3,BUSINESS - SSCI (Q3); MANAGEMENT - SSCI (Q3),0.00095,4.8,
INFORMATION SYSTEMS JOURNAL,1350-1917,1365-2575,6.4,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1),0.00357,2.8,
INFORMATION SYSTEMS RESEARCH,1047-7047,1526-5536,4.9,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1); MANAGEMENT - SSCI (Q2),0.00875,3.8,
Information Technology & Management,1385-951X,1573-7667,2.4,Q3,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q3); MANAGEMENT - SSCI (Q4),0.00032,3.8,
Information Technology & People,0959-3845,1758-5813,4.4,Q2,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q2),0.00323,2.8,
Information Technology & Tourism,1098-3058,1943-4294,9.3,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q1)",0.00104,3.6,
INFORMATION TECHNOLOGY AND LIBRARIES,0730-9295,2163-5226,1.8,Q3,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q3),0.00035,2.8,
Information Technology for Development,0268-1102,1554-0170,4.8,Q1,DEVELOPMENT STUDIES - SSCI (Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q2),0.00139,2.65,
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,1.4,Q4,MANAGEMENT - SSCI (Q4),0.00035,4.8,
Injury Epidemiology,N/A,2197-1714,2.2,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.0024,3.05,
INJURY PREVENTION,1353-8047,1475-5785,3.7,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00548,3.05,
Innovation in Aging,N/A,2399-5300,7,Q1,GERONTOLOGY - SSCI (Q1),0.00468,2.7,
Innovation in Language Learning and Teaching,1750-1229,1750-1237,3,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); LINGUISTICS - SSCI (Q1),0.00104,1.8,
Innovation-Organization & Management,1447-9338,2204-0226,2.8,Q4,MANAGEMENT - SSCI (Q4),0.00108,4.8,
INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,1470-3297,1470-3300,1.8,Q3,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3),0.00172,2.4,
Innovation-The European Journal of Social Science Research,1351-1610,1469-8412,2,Q3,SOCIOLOGY - SSCI (Q3),0.00112,2.1,
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,0020-174X,1502-3923,1.3,Q3,ETHICS - SSCI (Q3),0.00355,1.6,
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,0046-9580,1945-7243,1.7,Q4,HEALTH POLICY & SERVICES - SSCI (Q4),0.00245,2.8,
INSTRUCTIONAL SCIENCE,0020-4277,1573-1952,2.5,Q2,"EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); PSYCHOLOGY, EDUCATIONAL - SSCI (Q3)",0.0012,2.5,
INSURANCE MATHEMATICS & ECONOMICS,0167-6687,1873-5959,1.9,Q2,"ECONOMICS - SSCI (Q3); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI (Q2)",0.00371,1.95,
Integrative Psychological and Behavioral Science,1932-4502,1936-3567,1.2,Q4,"PSYCHOLOGY, BIOLOGICAL - SSCI (Q4)",0.0007,2.5,
Intellectual and Developmental Disabilities,1934-9491,1934-9556,1.8,Q3,"EDUCATION, SPECIAL - SSCI (Q3); REHABILITATION - SSCI (Q3)",0.00106,1.98,
INTELLIGENCE,0160-2896,1873-7935,3,Q2,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q2)",0.0034,2.4,
INTELLIGENCE AND NATIONAL SECURITY,0268-4527,1743-9019,1.2,Q1,HISTORY - SSCI (Q1); INTERNATIONAL RELATIONS - SSCI (Q4); POLITICAL SCIENCE - SSCI (Q3),0.00142,1.43,
Intensive and Critical Care Nursing,0964-3397,1532-4036,5.3,Q1,NURSING - SSCI (Q1),0.00311,2,
INTERACTING WITH COMPUTERS,0953-5438,1873-7951,1.3,Q4,ERGONOMICS - SSCI (Q4),0.0006,3.2,
Interaction Studies,1572-0373,1572-0381,1.5,Q2,COMMUNICATION - SSCI (Q4); LINGUISTICS - SSCI (Q2),0.00047,1.9,
INTERACTIVE LEARNING ENVIRONMENTS,1049-4820,1744-5191,5.4,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00632,2.4,
Inter-Asia Cultural Studies,1464-9373,1469-8447,0.5,Q3,ANTHROPOLOGY - SSCI (Q4); CULTURAL STUDIES - SSCI (Q3),0.00057,1.1,
Intercultural Pragmatics,1612-295X,1613-365X,1.1,Q3,LINGUISTICS - SSCI (Q3),0.00058,1.2,
INTERDISCIPLINARY SCIENCE REVIEWS,0308-0188,1743-2790,1.1,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.00036,1.9,
INTERNASJONAL POLITIKK,0020-577X,1891-1757,0.2,Q4,INTERNATIONAL RELATIONS - SSCI (Q4); POLITICAL SCIENCE - SSCI (Q4),6.00E-05,1.85,
International & Comparative Law Quarterly,0020-5893,1471-6895,2,Q2,LAW - SSCI (Q2),0.00155,1.3,
INTERNATIONAL AFFAIRS,0020-5850,1468-2346,4.5,Q1,INTERNATIONAL RELATIONS - SSCI (Q1),0.00606,1.8,
International Business Review,0969-5931,1873-6149,8.7,Q1,BUSINESS - SSCI (Q1),0.00644,4.8,
International Communication Gazette,1748-0485,1748-0493,1.9,Q3,COMMUNICATION - SSCI (Q3),0.00168,2.6,
International Data Privacy Law,2044-3994,2044-4001,2.1,Q1,LAW - SSCI (Q1),0.00111,1.3,
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,1474-6743,1478-3401,1.6,Q4,DEVELOPMENT STUDIES - SSCI (Q4); REGIONAL & URBAN PLANNING - SSCI (Q4),0.0004,2.8,
INTERNATIONAL ECONOMIC REVIEW,0020-6598,1468-2354,1.5,Q3,ECONOMICS - SSCI (Q3),0.00561,2.1,
International Emergency Nursing,1755-599X,1878-013X,1.8,Q3,NURSING - SSCI (Q3),0.00153,2,
International Entrepreneurship and Management Journal,1554-7191,1555-1938,5.6,Q2,BUSINESS - SSCI (Q2); MANAGEMENT - SSCI (Q2),0.00332,4.8,
International Environmental Agreements-Politics Law and Economics,1567-9764,1573-1553,3.4,Q1,ECONOMICS - SSCI (Q2); ENVIRONMENTAL STUDIES - SSCI (Q2); LAW - SSCI (Q1); POLITICAL SCIENCE - SSCI (Q1),0.00134,2.13,
International Feminist Journal of Politics,1461-6742,1468-4470,1.6,Q2,POLITICAL SCIENCE - SSCI (Q3); WOMENS STUDIES - SSCI (Q2),0.00169,1.75,
International Finance,1367-0271,1468-2362,1.2,Q4,"BUSINESS, FINANCE - SSCI (Q4); ECONOMICS - SSCI (Q4)",0.00035,2.45,
International Gambling Studies,1445-9795,1479-4276,3.2,Q3,SUBSTANCE ABUSE - SSCI (Q3),0.00118,3.4,
International Health,1876-3413,1876-3405,2.5,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.003,3.05,
International Insolvency Review,1180-0518,1099-1107,0.6,Q4,"BUSINESS, FINANCE - SSCI (Q4); LAW - SSCI (Q4)",0.00017,2.05,
INTERNATIONAL INTERACTIONS,0305-0629,1547-7444,1.3,Q3,INTERNATIONAL RELATIONS - SSCI (Q3),0.00209,1.8,
INTERNATIONAL JOURNAL,0020-7020,2052-465X,2.2,Q2,INTERNATIONAL RELATIONS - SSCI (Q2),0.00072,1.8,
International Journal for Academic Development,1360-144X,1470-1324,1.3,Q4,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4),0.00063,2.4,
International Journal for Educational and Vocational Guidance,1873-0388,1573-1782,1.8,Q3,"EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3); PSYCHOLOGY, APPLIED - SSCI (Q4)",0.00053,2.8,
International Journal for Equity in Health,N/A,1475-9276,4.8,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.01361,3.05,
International Journal for Lesson and Learning Studies,2046-8253,2016-8261,1.3,Q4,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4),0.00031,2.4,
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,1353-4505,1464-3677,2.6,Q3,HEALTH POLICY & SERVICES - SSCI (Q3),0.00407,2.8,
International Journal for the Psychology of Religion,1050-8619,1532-7582,2.2,Q3,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00085,2.4,
International Journal of Accounting Information Systems,1467-0895,1873-4723,4.6,Q1,"BUSINESS - SSCI (Q3); BUSINESS, FINANCE - SSCI (Q1); MANAGEMENT - SSCI (Q3)",0.00086,4.13,
International Journal of Advertising,0265-0487,1759-3948,6.7,Q1,BUSINESS - SSCI (Q2); COMMUNICATION - SSCI (Q1),0.00408,3.7,
International Journal of AEROSPACE Psychology,2472-1832,2472-1840,1.3,Q4,"PSYCHOLOGY, APPLIED - SSCI (Q4)",0.00023,3.2,
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,0091-4150,1541-3535,2,Q3,"GERONTOLOGY - SSCI (Q3); PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q3)",0.00149,2.65,
INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,0020-7071,1545-7001,0.1,Q4,LINGUISTICS - SSCI (Q4),8.00E-05,1.2,
International Journal of Applied Linguistics,0802-6106,1473-4192,1.6,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4); LINGUISTICS - SSCI (Q2),0.00119,1.8,
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1476-8062,1476-8070,1.1,Q4,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4),0.00048,2.4,
International Journal of Arts Management,1480-8986,1480-8986,0.8,Q4,MANAGEMENT - SSCI (Q4),0.00014,4.8,
INTERNATIONAL JOURNAL OF AUDITING,1090-6738,1099-1123,2,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00056,2.8,
International Journal of Bank Marketing,0265-2323,1758-5937,5.3,Q2,BUSINESS - SSCI (Q2),0.00236,4.8,
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,0165-0254,1464-0651,3.7,Q2,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q2)",0.00335,2.6,
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,1070-5503,1532-7558,2.7,Q3,"PSYCHOLOGY, CLINICAL - SSCI (Q3)",0.00287,2.8,
International Journal of Bilingual Education and Bilingualism,1367-0050,1747-7522,2.8,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); LINGUISTICS - SSCI (Q1),0.00487,1.8,
International Journal of Bilingualism,1367-0069,1756-6878,1.5,Q2,LINGUISTICS - SSCI (Q2),0.0018,1.2,
International Journal of Business Communication,2329-4884,2329-4892,2.8,Q2,BUSINESS - SSCI (Q4); COMMUNICATION - SSCI (Q2),0.00116,3.7,
International Journal of Central Banking,1815-4654,1815-7556,1.3,Q4,"BUSINESS, FINANCE - SSCI (Q4)",0.00231,2.8,
International Journal of Circumpolar Health,1239-9736,2242-3982,1.3,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00102,3.05,
International Journal of Climate Change Strategies and Management,1756-8692,1756-8706,3.6,Q2,ENVIRONMENTAL STUDIES - SSCI (Q2),0.00115,3.2,
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,0020-7144,1744-5183,1.7,Q4,"PSYCHIATRY - SSCI (Q4); PSYCHOLOGY, CLINICAL - SSCI (Q4)",0.0004,3.08,
International Journal of Clinical and Health Psychology,1697-2600,1576-7329,8.8,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.00188,2.8,
International Journal of Cognitive Therapy,1937-1209,1937-1217,2.6,Q3,"PSYCHIATRY - SSCI (Q3); PSYCHOLOGY, CLINICAL - SSCI (Q3)",0.00076,3.08,
International Journal of Communication,1932-8036,1932-8036,1.7,Q3,COMMUNICATION - SSCI (Q3),0.01049,2.6,
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,0020-7152,1745-2554,2,Q3,SOCIOLOGY - SSCI (Q3),0.001,2.1,
International Journal of Computer-Supported Collaborative Learning,1556-1607,1556-1615,4.3,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q2),0.00087,2.6,
International Journal of Conflict and Violence,1864-1385,1864-1385,1.9,Q2,INTERNATIONAL RELATIONS - SSCI (Q2); POLITICAL SCIENCE - SSCI (Q2),0.00026,1.85,
INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,1044-4068,1758-8545,3.3,Q2,COMMUNICATION - SSCI (Q2),0.00095,2.6,
International Journal of Consumer Studies,1470-6423,1470-6431,9.9,Q1,BUSINESS - SSCI (Q1),0.00411,4.8,
International Journal of Contemporary Hospitality Management,0959-6119,1757-1049,11.1,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q1); MANAGEMENT - SSCI (Q1)",0.01252,4.2,
International Journal of Corpus Linguistics,1384-6655,1569-9811,1,Q3,LINGUISTICS - SSCI (Q3),0.00083,1.2,
International Journal of Cultural Policy,1028-6632,1477-2833,1.8,Q1,CULTURAL STUDIES - SSCI (Q1),0.0015,1,
International Journal of Cultural Studies,1367-8779,1460-356X,2.1,Q1,CULTURAL STUDIES - SSCI (Q1),0.00228,1,
International Journal of Design,1991-3761,1994-036X,1.5,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.00044,1.9,
International Journal of Developmental Disabilities,2047-3869,2047-3877,2.1,Q2,"EDUCATION, SPECIAL - SSCI (Q2); REHABILITATION - SSCI (Q2)",0.00129,1.98,
International Journal of Disability Development and Education,1034-912X,1465-346X,1.1,Q4,"EDUCATION, SPECIAL - SSCI (Q4); REHABILITATION - SSCI (Q4)",0.00116,1.98,
INTERNATIONAL JOURNAL OF DRUG POLICY,0955-3959,1873-4758,4.4,Q1,SUBSTANCE ABUSE - SSCI (Q1),0.01766,3.4,
INTERNATIONAL JOURNAL OF EATING DISORDERS,0276-3478,1098-108X,5.5,Q1,"PSYCHIATRY - SSCI (Q1); PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.01084,3.08,
International Journal of Economic Theory,1742-7355,1742-7363,0.5,Q4,ECONOMICS - SSCI (Q4),0.00025,2.1,
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,0738-0593,1873-4871,2.5,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00274,2.4,
International Journal of Educational Research,0883-0355,1873-538X,3.2,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00454,2.4,
International Journal of Educational Technology in Higher Education,2365-9440,2365-9440,8.6,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00373,2.4,
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,1086-4415,1557-9301,5,Q2,BUSINESS - SSCI (Q2),0.00103,4.8,
International Journal of Emerging Markets,1746-8809,1746-8817,2.7,Q2,BUSINESS - SSCI (Q4); ECONOMICS - SSCI (Q2); MANAGEMENT - SSCI (Q4),0.00187,3.9,
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,1355-2554,1758-6534,5.5,Q2,BUSINESS - SSCI (Q2); MANAGEMENT - SSCI (Q2),0.00359,4.8,
International Journal of Evidence & Proof,1365-7127,1740-5572,1.5,Q2,LAW - SSCI (Q2),0.00064,1.3,
International Journal of Feminist Approaches To Bioethics,1937-4585,1937-4577,0.7,Q4,"ETHICS - SSCI (Q4); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q4); WOMENS STUDIES - SSCI (Q4)",0.00031,1.8,
INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,1076-9307,1099-1158,2.9,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.00394,2.8,
INTERNATIONAL JOURNAL OF FORECASTING,0169-2070,1872-8200,7.9,Q1,ECONOMICS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.00731,3.45,
International Journal of Forensic Mental Health,1499-9013,1932-9903,1.4,Q3,CRIMINOLOGY & PENOLOGY - SSCI (Q3); PSYCHIATRY - SSCI (Q4),0.00056,2.58,
INTERNATIONAL JOURNAL OF GAME THEORY,0020-7276,1432-1270,0.6,Q4,"ECONOMICS - SSCI (Q4); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI (Q4)",0.00093,1.95,
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1365-8816,1362-3087,5.7,Q1,GEOGRAPHY - SSCI (Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1),0.00556,2.6,
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,0885-6230,1099-1166,4,Q2,GERONTOLOGY - SSCI (Q2); PSYCHIATRY - SSCI (Q2),0.0098,3.03,
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,0020-7284,1943-2836,1.3,Q4,"PSYCHOLOGY, CLINICAL - SSCI (Q4)",0.00039,2.8,
International Journal of Health Economics and Management,2199-9023,2199-9031,2.4,Q2,"BUSINESS, FINANCE - SSCI (Q3); ECONOMICS - SSCI (Q2); HEALTH POLICY & SERVICES - SSCI (Q3)",0.00058,2.57,
International Journal of Health Geographics,1476-072X,1476-072X,4.9,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.00224,3.05,
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,0749-6753,1099-1751,2.7,Q3,"HEALTH POLICY & SERVICES - SSCI (Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00413,2.92,
International Journal of Health Policy and Management,N/A,2322-5939,3.5,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.00675,2.8,
INTERNATIONAL JOURNAL OF HEALTH SERVICES,0020-7314,1541-4469,3.4,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.00197,2.8,
International Journal of Heritage Studies,1352-7258,1470-3610,1.8,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.00294,1.9,
International Journal of Hospitality Management,0278-4319,1873-4693,11.7,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q1)",0.01825,3.6,
International Journal of Housing Policy,1949-1247,1949-1255,3.5,Q2,ENVIRONMENTAL STUDIES - SSCI (Q2); REGIONAL & URBAN PLANNING - SSCI (Q2); URBAN STUDIES - SSCI (Q2),0.00134,3,
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,0958-5192,1466-4399,5.6,Q2,MANAGEMENT - SSCI (Q2),0.0089,4.8,
International Journal of Human Rights,1364-2987,1744-053X,1.4,Q2,LAW - SSCI (Q2),0.00239,1.3,
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1044-7318,1532-7590,4.7,Q1,ERGONOMICS - SSCI (Q1),0.00472,3.2,
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,1095-9300,5.4,Q1,"ERGONOMICS - SSCI (Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.00447,2.8,
International Journal of Inclusive Education,1360-3116,1464-5173,2.2,Q3,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3),0.00419,2.4,
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,0169-8141,1872-8219,3.1,Q3,ERGONOMICS - SSCI (Q3),0.00248,3.2,
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,0167-7187,1873-7986,1.5,Q3,ECONOMICS - SSCI (Q3),0.00374,2.1,
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,1873-4707,21,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q1),0.02033,2.8,
International Journal of Injury Control and Safety Promotion,1745-7300,1745-7319,2.3,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00125,3.05,
International Journal of Integrated Care,1568-4156,1568-4156,2.4,Q3,HEALTH POLICY & SERVICES - SSCI (Q3),0.00217,2.8,
International Journal of Intercultural Relations,0147-1767,1873-7552,2.8,Q2,"PSYCHOLOGY, SOCIAL - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2); SOCIOLOGY - SSCI (Q2)",0.00306,2.23,
International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,1753-8408,3,Q2,"BUSINESS, FINANCE - SSCI (Q2); MANAGEMENT - SSCI (Q3)",0.00078,3.8,
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1368-2822,1460-6984,2.4,Q1,LINGUISTICS - SSCI (Q1); REHABILITATION - SSCI (Q1),0.00256,1.57,
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,0160-2527,1873-6386,2.3,Q1,LAW - SSCI (Q1); PSYCHIATRY - SSCI (Q3),0.00176,2.33,
International Journal of Law Crime and Justice,1756-0616,1876-763X,1.1,Q3,CRIMINOLOGY & PENOLOGY - SSCI (Q4); LAW - SSCI (Q3),0.0007,1.55,
International Journal of Law in Context,1744-5523,1744-5531,0.8,Q3,LAW - SSCI (Q3),0.00078,1.3,
International Journal of Law Policy and the Family,1360-9939,1464-3707,0.8,Q3,FAMILY STUDIES - SSCI (Q4); LAW - SSCI (Q3),0.00028,1.75,
International Journal of Lean Six Sigma,2040-4166,2040-4174,4,Q3,MANAGEMENT - SSCI (Q3),0.00095,4.8,
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,0950-3846,1477-4577,0.5,Q4,LINGUISTICS - SSCI (Q4),0.00048,1.2,
International Journal of Logistics Management,0957-4093,1758-6550,7.5,Q1,MANAGEMENT - SSCI (Q1),0.00299,4.8,
International Journal of Logistics-Research and Applications,1367-5567,1469-848X,6.6,Q2,MANAGEMENT - SSCI (Q2),0.00198,4.8,
International Journal of Management Education,1472-8117,2352-3565,5.2,Q1,BUSINESS - SSCI (Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1); MANAGEMENT - SSCI (Q2),0.00177,4,
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,1460-8545,1468-2370,8.1,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.00467,4.8,
International Journal of Managing Projects in Business,1753-8378,1753-8386,2.7,Q4,BUSINESS - SSCI (Q4); MANAGEMENT - SSCI (Q4),0.00128,4.8,
INTERNATIONAL JOURNAL OF MANPOWER,0143-7720,1758-6577,4.4,Q1,INDUSTRIAL RELATIONS & LABOR - SSCI (Q1); MANAGEMENT - SSCI (Q3),0.00212,3.7,
International Journal of Marine and Coastal Law,0927-3522,1571-8085,1.3,Q2,LAW - SSCI (Q2),0.00041,1.3,
INTERNATIONAL JOURNAL OF MARKET RESEARCH,1470-7853,2515-2173,3,Q3,BUSINESS - SSCI (Q3),0.0014,4.8,
International Journal of Mental Health and Addiction,1557-1874,1557-1882,8,Q1,"PSYCHIATRY - SSCI (Q1); PSYCHOLOGY, CLINICAL - SSCI (Q1); SUBSTANCE ABUSE - SSCI (Q1)",0.01076,3.18,
International Journal of Mental Health Nursing,1445-8330,1447-0349,5.6,Q1,NURSING - SSCI (Q1); PSYCHIATRY - SSCI (Q1),0.00531,2.67,
International Journal of Mental Health Promotion,1462-3730,2049-8543,1.3,Q4,"PSYCHIATRY - SSCI (Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00018,3.2,
International Journal of Mental Health Systems,1752-4458,1752-4458,3.6,Q2,PSYCHIATRY - SSCI (Q2),0.0037,3.35,
