Q,Rank,CS,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,Column1,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Column2,Normalized Eigenfactor,Column3
Q1,736,,Acta Neuropathologica Communications,ACTA NEUROPATHOL COM,2051-5960,"4,070",6.270,5.973,,6.142,1.171,199,3.5,6.9,0.014730,2.069,95.98,89.852,,1.79772,
Q1,737,,CURRENT OPINION IN NEUROBIOLOGY,CURR OPIN NEUROBIOL,0959-4388,"14,959",6.267,5.952,,6.210,1.621,153,8.9,5.3,0.028730,3.002,100.00,89.483,,3.50570,
Q1,738,,EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,1080-6040,"30,705",6.259,6.020,,6.757,1.621,309,7.9,6.0,0.055920,2.608,97.73,88.119,,6.82229,
Q1,739,,CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,0958-9465,"17,419",6.257,5.674,,7.035,1.564,275,7.7,8.5,0.016940,1.481,98.55,91.285,,2.06695,
Q1,740,,Cell Discovery,CELL DISCOV,****-****,"1,159",6.255,6.226,,5.624,1.531,32,2.6,6.9,0.005560,2.238,100.00,78.718,,0.67913,
Q1,741,,CRITICAL REVIEWS IN PLANT SCIENCES,CRIT REV PLANT SCI,0735-2689,"3,797",6.235,6.088,,7.891,0.588,17,12.1,9.2,0.002200,1.901,0.00,95.085,,0.26943,
Q1,742,,MICROCHIMICA ACTA,MICROCHIM ACTA,0026-3672,"15,944",6.232,4.421,,5.394,1.306,846,3.0,4.4,0.018470,0.731,95.86,90.116,,2.25338,
Q1,743,,European Respiratory Review,EUR RESPIR REV,0905-9180,"2,950",6.220,6.035,,Not Available,0.750,60,4.7,6.2,0.006680,Not Available,21.67,88.281,,0.81572,
Q1,744,,PLoS Pathogens,PLOS PATHOG,1553-7366,"44,617",6.218,5.975,,6.479,1.064,534,6.2,8.4,0.099890,2.465,98.31,90.188,,12.18689,
Q1,745,,ELECTROCHIMICA ACTA,ELECTROCHIM ACTA,0013-4686,"118,897",6.215,5.587,,5.478,1.890,"2,225",5.3,5.1,0.124560,0.877,100.00,83.333,,15.19643,
Q1,746,,JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,0093-5301,"22,942",6.207,5.519,,7.366,1.250,68,17.8,13.0,0.012320,2.879,100.00,91.776,,1.50355,
Q1,747,,GENOMICS,GENOMICS,0888-7543,"9,595",6.205,5.880,,4.149,1.991,220,15.1,8.3,0.005790,1.182,97.73,90.089,,0.70667,
Q1,747,,JCI Insight,JCI INSIGHT,****-****,"7,697",6.205,6.050,,6.391,1.193,549,2.2,7.3,0.034400,2.475,98.91,90.217,,4.19736,
Q1,747,,JOURNAL OF MEDICINAL CHEMISTRY,J MED CHEM,0022-2623,"74,893",6.205,5.566,,6.521,1.756,689,9.2,7.4,0.071980,1.570,99.85,95.902,,8.78183,
Q1,750,,Strategic Entrepreneurship Journal,STRATEG ENTREP J,1932-4391,"1,938",6.200,5.844,,6.128,0.273,22,8.1,14.0,0.002240,1.634,100.00,92.572,,0.27441,
Q1,751,,JAMA Ophthalmology,JAMA OPHTHALMOL,2168-6165,"5,821",6.198,5.724,,6.109,1.676,145,3.8,6.6,0.022220,2.263,95.86,94.167,,2.71199,
Q1,752,,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,REV ENDOCR METAB DIS,1389-9155,"2,429",6.192,6.027,,6.514,0.711,38,5.9,7.1,0.003710,1.588,44.74,89.860,,0.45265,
Q1,753,,DRUGS,DRUGS,0012-6667,"11,128",6.189,6.098,,5.289,1.609,169,8.6,4.9,0.014190,1.432,47.93,94.499,,1.73202,
Q1,754,,Biomaterials Science,BIOMATER SCI-UK,2047-4830,"6,409",6.183,5.521,,5.468,1.271,447,2.7,5.6,0.012360,1.004,90.60,85.526,,1.50879,
Q1,755,,APPLIED SURFACE SCIENCE,APPL SURF SCI,0169-4332,"116,685",6.182,5.339,,5.141,1.948,"3,723",4.2,5.7,0.132300,0.773,99.68,83.386,,16.14095,
Q1,756,,GONDWANA RESEARCH,GONDWANA RES,1342-937X,"14,559",6.174,5.705,,7.121,1.583,156,6.1,12.4,0.025730,2.102,92.31,97.250,,3.14023,
Q1,757,,FREE RADICAL BIOLOGY AND MEDICINE,FREE RADICAL BIO MED,0891-5849,"42,665",6.170,5.842,,6.456,2.040,473,9.1,8.5,0.036960,1.449,74.84,87.762,,4.50970,
Q1,758,,Advances in Ecological Research,ADV ECOL RES,0065-2504,"2,211",6.167,6.083,,5.486,3.200,15,19.7,7.7,0.001780,2.015,0.00,91.964,,0.21723,
Q1,759,,CHEMICAL RECORD,CHEM REC,1527-8999,"3,912",6.163,6.016,,5.195,2.094,138,3.5,7.1,0.007240,1.179,97.83,81.638,,0.88431,
Q1,760,,METABOLISM-CLINICAL AND EXPERIMENTAL,METABOLISM,0026-0495,"14,785",6.159,5.707,,6.029,2.138,138,9.1,6.4,0.015770,1.487,75.36,88.462,,1.92476,
Q1,761,,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,J MATER SCI TECHNOL,1005-0302,"9,326",6.155,5.178,,5.275,2.016,373,3.6,7.3,0.011590,0.847,96.78,88.310,,1.41464,
Q1,762,,CHINESE JOURNAL OF CATALYSIS,CHINESE J CATAL,0253-9837,"7,240",6.146,5.219,,4.424,1.914,174,3.7,4.6,0.009940,0.681,89.08,86.642,,1.21331,
Q1,763,,Earths Future,EARTHS FUTURE,****-****,"2,369",6.141,5.779,,7.058,1.082,98,2.8,5.7,0.009830,2.497,97.96,94.580,,1.20030,
Q1,763,,PLANT JOURNAL,PLANT J,0960-7412,"46,465",6.141,5.873,,6.629,1.482,305,11.0,8.5,0.042290,2.112,98.69,94.658,,5.15977,
Q1,765,,JOURNAL OF GASTROENTEROLOGY,J GASTROENTEROL,0944-1174,"7,522",6.132,5.739,,5.065,1.679,106,6.9,6.7,0.010540,1.356,83.02,81.250,,1.28665,
Q1,766,,Cancers,CANCERS,****-****,"10,442",6.126,5.492,,6.433,1.037,"2,020",2.3,6.2,0.018740,1.438,64.46,85.041,,2.28679,
Q1,767,,Future Generation Computer Systems-The International Journal of eScience,FUTURE GENER COMP SY,0167-739X,"13,727",6.125,5.372,,5.387,2.166,833,2.2,5.3,0.016030,0.782,99.04,93.056,,1.95636,
Q1,767,,SPACE SCIENCE REVIEWS,SPACE SCI REV,0038-6308,"12,282",6.125,5.747,,7.885,4.302,53,8.8,9.6,0.025010,3.923,0.00,88.971,,3.05200,
Q1,769,,IEEE Transactions on Robotics,IEEE T ROBOT,1552-3098,"14,259",6.123,5.860,,6.727,0.676,111,10.7,8.0,0.014280,1.864,99.10,94.643,,1.74272,
Q1,770,,Oncogenesis,ONCOGENESIS,2157-9024,"2,775",6.119,6.100,,6.052,0.845,71,3.2,6.9,0.007750,1.613,98.59,84.631,,0.94652,
Q1,771,,Alzheimers Research & Therapy,ALZHEIMERS RES THER,****-****,"3,876",6.116,5.791,,7.114,0.748,111,4.2,6.4,0.011650,2.197,93.69,90.023,,1.42152,
Q1,772,,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,"6,627",6.112,5.905,,5.087,1.772,57,12.1,9.0,0.005380,1.421,94.74,93.962,,0.65682,
Q1,772,,MEDICAL JOURNAL OF AUSTRALIA,MED J AUSTRALIA,0025-729X,"11,075",6.112,5.578,,5.050,1.881,109,10.2,5.0,0.011070,1.566,72.48,90.606,,1.35055,
Q1,774,,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,1093-7404,"1,802",6.105,5.895,,6.410,0.182,11,9.4,9.1,0.001640,1.574,0.00,92.468,,0.20124,
Q1,775,,Photonics Research,PHOTONICS RES,2327-9125,"3,455",6.099,5.815,,5.640,1.469,213,2.2,6.1,0.009470,1.385,95.77,90.206,,1.15596,
Q1,775,,Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,1757-7780,"3,703",6.099,5.752,,7.858,1.519,54,5.5,6.2,0.009610,2.999,51.85,94.125,,1.17350,
Q1,775,,Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,1757-7780,"3,703",6.099,5.752,,7.858,1.519,54,5.5,6.2,0.009610,2.999,51.85,94.125,,1.17350,
Q1,778,,Science China-Materials,SCI CHINA MATER,2095-8226,"2,653",6.098,5.211,,5.442,2.067,163,2.1,4.8,0.005380,1.008,85.28,80.732,,0.65698,
Q1,779,,Environmental Research Letters,ENVIRON RES LETT,1748-9326,"19,933",6.096,5.662,,6.672,0.716,542,4.4,5.8,0.058630,2.341,92.44,92.043,,7.15393,
Q1,780,,Current Climate Change Reports,CURR CLIM CHANGE REP,2198-6061,918,6.095,5.841,,7.746,1.063,32,3.2,5.7,0.004860,3.379,96.88,93.011,,0.59335,
Q1,781,,BIOMACROMOLECULES,BIOMACROMOLECULES,1525-7797,"38,863",6.092,5.644,,5.775,1.485,427,8.3,6.8,0.031320,1.126,97.89,92.195,,3.82111,
Q1,782,,Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,2165-8102,955,6.091,5.970,,7.000,3.125,24,4.1,9.1,0.002670,2.160,100.00,96.670,,0.32603,
Q1,782,,Bioengineering & Translational Medicine,BIOENG TRANSL MED,****-****,595,6.091,5.477,,7.857,1.760,25,2.9,6.7,0.001660,1.881,80.00,87.931,,0.20279,
Q1,782,,ORGANIC LETTERS,ORG LETT,1523-7060,"101,101",6.091,5.125,,5.541,1.502,"2,103",6.1,6.1,0.123850,1.168,100.00,93.860,,15.11030,
Q1,785,,BMJ Quality & Safety,BMJ QUAL SAF,2044-5415,"5,825",6.084,5.539,,7.296,2.353,102,5.0,6.3,0.015370,2.521,91.18,99.468,,1.87537,
Q1,785,,BMJ Quality & Safety,BMJ QUAL SAF,2044-5415,"5,825",6.084,5.539,,7.296,2.353,102,5.0,6.3,0.015370,2.521,91.18,99.468,,1.87537,
Q1,787,,ENERGY,ENERGY,0360-5442,"79,807",6.082,4.924,,6.046,1.561,"2,373",4.2,5.4,0.106520,1.012,98.57,89.245,,12.99638,
Q1,788,,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,TRANSPORT RES C-EMER,0968-090X,"13,918",6.077,4.730,,7.080,1.764,276,4.7,5.9,0.026420,1.702,97.83,90.278,,3.22423,
Q1,789,,IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE T POWER SYST,0885-8950,"41,609",6.074,5.227,,6.991,1.000,504,6.8,6.1,0.050200,1.660,99.60,90.789,,6.12553,
Q1,790,,IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,"9,000",6.051,4.981,,5.556,1.543,247,4.1,5.0,0.019450,1.472,99.19,94.074,,2.37407,
Q1,791,,IEEE Transactions on Emerging Topics in Computing,IEEE T EMERG TOP COM,2168-6750,"1,621",6.043,6.011,,5.359,2.208,48,3.3,7.5,0.003510,1.250,100.00,92.318,,0.42943,
Q1,792,,ACS Macro Letters,ACS MACRO LETT,****-****,"10,864",6.042,5.653,,5.821,1.343,274,4.1,6.3,0.025300,1.474,100.00,93.820,,3.08781,
Q1,793,,EPILEPSIA,EPILEPSIA,0013-9580,"26,560",6.040,5.519,,5.715,1.045,243,9.3,7.3,0.029790,1.769,88.48,90.441,,3.63474,
Q1,794,,JOURNAL OF CLINICAL ANESTHESIA,J CLIN ANESTH,0952-8180,"4,858",6.039,5.118,,3.391,4.254,63,4.3,6.3,0.007180,0.794,77.78,89.063,,0.87663,
Q1,795,,Neurotherapeutics,NEUROTHERAPEUTICS,1933-7213,"4,998",6.035,5.988,,6.453,1.458,96,5.6,7.5,0.009520,1.929,54.17,90.738,,1.16187,
Q1,796,,Global Food Security-Agriculture Policy Economics and Environment,GLOB FOOD SECUR-AGR,2211-9124,"1,660",6.034,5.767,,6.598,0.984,62,3.3,6.0,0.004500,1.793,33.87,95.324,,0.54965,
Q1,797,,Circulation-Heart Failure,CIRC-HEART FAIL,1941-3289,"6,773",6.033,5.856,,6.548,1.171,70,5.8,6.3,0.018490,2.806,92.86,88.043,,2.25639,
Q1,798,,Stem Cell Reports,STEM CELL REP,2213-6711,"7,834",6.032,5.873,,6.625,1.363,182,3.3,7.1,0.033800,2.452,97.25,81.344,,4.12469,
Q1,799,,Journal of Innovation & Knowledge,J INNOV KNOWL,2530-7614,349,6.027,5.811,,5.125,1.735,34,2.0,12.7,0.000390,0.559,100.00,92.022,,0.04823,
Q1,800,,STEM CELLS,STEM CELLS,1066-5099,"20,554",6.022,5.864,,5.810,1.547,139,8.0,7.4,0.024110,1.609,82.01,83.846,,2.94238,
Q1,801,,Computational and Structural Biotechnology Journal,COMPUT STRUCT BIOTEC,2001-0370,"1,954",6.018,5.938,,Not Available,0.664,143,3.8,6.8,0.004980,Not Available,53.85,85.690,,0.60847,
Q1,802,,IEEE Transactions on Information Forensics and Security,IEEE T INF FOREN SEC,1556-6013,"10,916",6.013,5.662,,6.289,2.099,242,4.5,6.3,0.019410,1.483,100.00,91.272,,2.36852,
Q1,803,,Cold Spring Harbor Perspectives in Medicine,CSH PERSPECT MED,2157-1422,"7,647",6.000,5.823,,7.174,2.375,96,5.7,8.8,0.016800,2.497,100.00,89.493,,2.05019,
Q1,803,,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,PROG CRYST GROWTH CH,0960-8974,"1,131",6.000,6.000,,5.036,0.286,7,12.3,10.1,0.000710,1.026,0.00,98.281,,0.08691,
Q1,803,,npj Breast Cancer,NPJ BREAST CANCER,****-****,814,6.000,5.916,,Not Available,1.000,41,2.6,6.0,0.003590,Not Available,92.68,83.811,,0.43848,
Q1,806,,CHEMICAL COMMUNICATIONS,CHEM COMMUN,1359-7345,"199,100",5.996,5.620,,5.818,1.356,"3,194",6.1,5.3,0.263010,1.295,98.28,81.073,,32.08826,
Q1,807,,GigaScience,GIGASCIENCE,2047-217X,"4,068",5.993,5.695,,7.715,1.038,157,3.7,5.9,0.016410,3.219,94.90,86.620,,2.00315,
Q1,807,,Journal of CO2 Utilization,J CO2 UTIL,2212-9820,"5,031",5.993,5.366,,6.193,1.068,235,2.5,5.7,0.010180,1.104,93.19,85.534,,1.24199,
Q1,809,,MODERN PATHOLOGY,MODERN PATHOL,0893-3952,"13,799",5.988,5.673,,5.915,1.647,173,7.9,6.1,0.019760,1.884,95.38,94.231,,2.41189,
Q1,810,,GLIA,GLIA,0894-1491,"14,220",5.984,5.552,,6.139,1.700,160,8.5,7.6,0.017250,1.794,83.75,88.376,,2.10543,
Q1,811,,CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,1359-6101,"5,935",5.982,5.918,,7.003,0.881,42,9.0,6.9,0.007380,1.929,0.00,81.267,,0.90051,
Q1,812,,JOURNAL OF PATHOLOGY,J PATHOL,0022-3417,"16,307",5.979,5.852,,6.230,2.107,140,9.2,6.4,0.017910,1.930,83.57,88.175,,2.18550,
Q1,813,,ANALYTICA CHIMICA ACTA,ANAL CHIM ACTA,0003-2670,"50,928",5.977,5.541,,5.577,1.429,857,8.0,6.0,0.042970,1.028,93.00,88.953,,5.24278,
Q1,814,,Advanced Materials Technologies,ADV MATER TECHNOL-US,2365-709X,"3,275",5.969,5.537,,6.106,1.787,376,1.8,5.3,0.007460,1.394,88.83,80.414,,0.91032,
Q1,815,,GIScience & Remote Sensing,GISCI REMOTE SENS,1548-1603,"1,447",5.965,4.919,,4.191,1.559,59,4.2,7.8,0.002090,0.795,96.61,91.667,,0.25605,
Q1,816,,Inorganic Chemistry Frontiers,INORG CHEM FRONT,2052-1553,"5,973",5.958,5.558,,5.792,1.200,385,2.2,4.5,0.012200,1.016,94.55,94.444,,1.48885,
Q1,817,,NUCLEAR DATA SHEETS,NUCL DATA SHEETS,0090-3752,"2,173",5.944,5.722,,1.780,0.929,14,7.9,29.4,0.004250,0.713,100.00,86.842,,0.51951,
Q1,818,,JOURNAL OF UROLOGY,J UROLOGY,0022-5347,"46,545",5.925,5.410,,5.137,1.727,245,12.0,6.0,0.036540,1.431,91.84,90.000,,4.45829,
Q1,819,,Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,"3,610",5.922,4.721,,5.249,1.613,142,5.3,7.1,0.003250,0.757,46.48,83.881,,0.39758,
Q1,820,,KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,"15,975",5.921,5.286,,6.075,1.703,418,4.0,6.2,0.026270,1.159,99.76,89.338,,3.20500,
Q1,821,,MACROMOLECULES,MACROMOLECULES,0024-9297,"102,410",5.918,5.102,,5.654,1.118,958,10.6,8.5,0.073640,1.192,100.00,92.697,,8.98477,
Q1,822,,POLITICAL COMMUNICATION,POLIT COMMUN,1058-4609,"2,455",5.912,5.579,,5.068,0.886,35,10.7,8.2,0.004430,2.375,100.00,99.046,,0.54152,
Q1,823,,INFORMATION SCIENCES,INFORM SCIENCES,0020-0255,"36,107",5.910,5.092,,5.563,1.961,831,5.1,6.4,0.051840,1.138,99.64,94.551,,6.32514,
Q1,824,,ANNALS OF TOURISM RESEARCH,ANN TOURISM RES,0160-7383,"14,243",5.908,4.869,,8.120,0.933,120,13.3,9.4,0.004870,1.162,95.83,95.149,,0.59435,
Q1,824,,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,0022-0957,"50,988",5.908,5.530,,7.011,1.592,466,8.4,9.0,0.056220,1.879,70.39,94.231,,6.85970,
Q1,826,,NEUROIMAGE,NEUROIMAGE,1053-8119,"102,632",5.902,4.982,,6.682,1.532,"1,019",8.4,8.5,0.125360,2.240,95.09,92.932,,15.29510,
Q1,827,,DIABETES OBESITY & METABOLISM,DIABETES OBES METAB,1462-8902,"11,124",5.900,5.254,,5.734,1.898,323,4.3,5.5,0.023450,1.667,85.76,87.762,,2.86103,
Q1,828,,Annual Review of Vision Science,ANNU REV VIS SCI,2374-4642,601,5.897,5.667,,7.183,0.391,23,3.4,8.7,0.003700,3.578,0.00,90.069,,0.45195,
Q1,828,,JOURNAL OF CLINICAL MICROBIOLOGY,J CLIN MICROBIOL,0095-1137,"51,926",5.897,5.460,,4.663,1.220,287,12.0,5.6,0.050640,1.621,89.55,85.556,,6.17859,
Q1,830,,PHARMACOLOGICAL RESEARCH,PHARMACOL RES,1043-6618,"13,517",5.893,5.613,,5.631,1.579,361,4.6,6.9,0.019090,1.195,47.09,93.148,,2.32935,
Q1,831,,Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,1751-570X,"2,147",5.881,5.431,,5.037,1.424,92,3.0,6.3,0.005070,1.358,100.00,95.346,,0.61930,
Q1,832,,Materials Science & Engineering C-Materials for Biological Applications,MAT SCI ENG C-MATER,0928-4931,"36,144",5.880,5.376,,5.364,1.711,"1,252",3.6,6.8,0.046240,0.795,94.33,82.895,,5.64152,
Q1,833,,Epidemiology and Psychiatric Sciences,EPIDEMIOL PSYCH SCI,2045-7960,"1,584",5.876,5.619,,5.461,3.370,54,3.1,8.6,0.004770,1.852,87.04,90.922,,0.58198,
Q1,833,,Epidemiology and Psychiatric Sciences,EPIDEMIOL PSYCH SCI,2045-7960,"1,584",5.876,5.619,,5.461,3.370,54,3.1,8.6,0.004770,1.852,87.04,90.922,,0.58198,
Q1,835,,JOURNAL OF HIGH ENERGY PHYSICS,J HIGH ENERGY PHYS,1029-8479,"92,727",5.875,3.165,,4.897,2.182,"2,180",4.8,7.1,0.134750,1.027,100.00,87.931,,16.44039,
Q1,836,,JOURNAL OF RETAILING,J RETAILING,0022-4359,"7,995",5.873,5.238,,7.373,1.200,25,16.5,11.5,0.004120,1.847,100.00,89.803,,0.50364,
Q1,837,,Photoacoustics,PHOTOACOUSTICS,2213-5979,715,5.870,4.926,,Not Available,1.688,32,2.9,5.9,0.001760,Not Available,75.00,91.641,,0.21485,
Q1,838,,Molecular Autism,MOL AUTISM,2040-2392,"2,510",5.869,5.685,,6.166,0.647,51,4.3,7.3,0.007450,1.995,94.12,88.409,,0.90944,
Q1,838,,OncoImmunology,ONCOIMMUNOLOGY,2162-402X,"10,116",5.869,5.582,,6.255,1.120,251,3.4,5.7,0.029410,1.784,95.62,82.793,,3.58858,
Q1,840,,European Journal of Preventive Cardiology,EUR J PREV CARDIOL,2047-4873,"5,589",5.864,3.718,,4.936,2.593,150,3.3,5.3,0.015370,1.340,83.33,87.319,,1.87624,
Q1,841,,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,0360-3016,"44,197",5.859,5.317,,5.652,1.650,354,9.8,6.4,0.042160,1.696,94.07,87.720,,5.14412,
Q1,842,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE T GEOSCI REMOTE,0196-2892,"46,565",5.855,4.712,,6.032,1.542,777,8.3,7.6,0.049260,1.371,100.00,88.269,,6.01060,
Q1,843,,JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,0884-0431,"26,474",5.854,5.478,,5.985,1.690,200,9.7,8.4,0.029060,1.986,96.00,87.063,,3.54640,
Q1,844,,ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,1615-4150,"25,512",5.851,5.309,,5.200,2.016,616,5.3,6.1,0.032670,1.049,92.53,91.475,,3.98650,
Q1,844,,JOURNAL OF APPLIED PSYCHOLOGY,J APPL PSYCHOL,0021-9010,"41,414",5.851,5.387,,8.068,0.877,81,16.3,12.7,0.020830,3.382,93.83,92.702,,2.54212,
Q1,846,,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,0040-1625,"13,607",5.846,4.961,,5.179,1.804,428,4.5,8.5,0.016200,0.863,97.90,93.931,,1.97728,
Q1,847,,JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,"20,491",5.840,5.579,,6.424,1.175,234,9.5,8.1,0.025760,2.034,95.30,92.718,,3.14323,
Q1,848,,ASTRONOMICAL JOURNAL,ASTRON J,0004-6256,"39,317",5.838,4.629,,5.066,1.486,498,11.7,7.7,0.048990,1.771,100.00,87.500,,5.97726,
Q1,849,,Business & Information Systems Engineering,BUS INFORM SYST ENG+,2363-7005,"1,300",5.837,5.245,,7.361,0.667,36,5.1,8.0,0.001620,1.052,97.22,93.910,,0.19779,
Q1,850,,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,CRIT REV ONCOL HEMAT,1040-8428,"8,477",5.833,5.709,,5.175,1.027,188,5.4,6.5,0.014250,1.346,0.00,84.178,,1.73907,
Q1,851,,CATALYSIS TODAY,CATAL TODAY,0920-5861,"38,971",5.825,5.557,,5.266,2.619,541,8.3,7.4,0.030780,0.930,98.34,85.028,,3.75564,
Q1,852,,BLOOD REVIEWS,BLOOD REV,0268-960X,"3,040",5.823,5.719,,6.314,2.250,48,6.1,7.1,0.005280,1.902,0.00,84.868,,0.64452,
Q1,852,,IEEE Transactions on Services Computing,IEEE T SERV COMPUT,1939-1374,"2,911",5.823,5.752,,5.733,3.057,70,3.6,7.8,0.005130,1.193,100.00,94.088,,0.62649,
Q1,854,,PSYCHOLOGICAL MEDICINE,PSYCHOL MED,0033-2917,"26,702",5.813,5.602,,6.549,2.558,269,8.7,8.5,0.039350,2.326,81.78,92.344,,4.80189,
Q1,854,,PSYCHOLOGICAL MEDICINE,PSYCHOL MED,0033-2917,"26,702",5.813,5.602,,6.549,2.558,269,8.7,8.5,0.039350,2.326,81.78,92.344,,4.80189,
Q1,856,,AMERICAN JOURNAL OF SPORTS MEDICINE,AM J SPORT MED,0363-5465,"34,313",5.810,4.992,,6.804,0.933,388,8.2,7.1,0.044160,1.928,92.01,98.225,,5.38768,
Q1,857,,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,1383-5742,"3,621",5.803,5.652,,6.041,1.158,38,9.9,8.8,0.003120,1.457,7.89,90.020,,0.38165,
Q1,858,,Advances in Carbohydrate Chemistry and Biochemistry,ADV CARBOHYD CHEM BI,0065-2318,634,5.800,5.400,,4.765,0.667,3,23.8,14.0,0.000340,1.603,0.00,87.684,,0.04197,
Q1,858,,Engineering Applications of Computational Fluid Mechanics,ENG APPL COMP FLUID,1994-2060,"1,327",5.800,3.844,,3.534,1.938,80,2.9,7.9,0.001610,0.573,93.75,95.593,,0.19678,
Q1,860,,ANNALS OF EMERGENCY MEDICINE,ANN EMERG MED,0196-0644,"12,692",5.799,5.305,,5.553,1.537,136,10.7,6.4,0.016700,2.198,89.71,98.387,,2.03797,
Q1,860,,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,SCI TECHNOL ADV MAT,1468-6996,"5,650",5.799,5.321,,5.384,1.138,87,7.1,6.7,0.006220,1.095,74.71,80.096,,0.75938,
Q1,862,,Journal of Materiomics,J MATERIOMICS,2352-8478,"1,209",5.797,5.354,,Not Available,1.250,80,3.1,6.3,0.002640,Not Available,93.75,79.026,,0.32230,
Q1,863,,SOIL BIOLOGY & BIOCHEMISTRY,SOIL BIOL BIOCHEM,0038-0717,"40,199",5.795,5.202,,6.767,1.037,298,10.1,9.0,0.032480,1.546,98.32,98.684,,3.96346,
Q1,864,,Journal of Neuroinflammation,J NEUROINFLAMM,****-****,"13,709",5.793,5.531,,6.162,0.804,280,4.8,7.1,0.025870,1.525,90.71,84.431,,3.15681,
Q1,865,,BRITISH JOURNAL OF CANCER,BRIT J CANCER,0007-0920,"46,406",5.791,5.695,,6.210,1.299,254,9.0,6.3,0.051560,1.800,90.16,81.762,,6.29101,
Q1,866,,ALTEX-Alternatives to Animal Experimentation,ALTEX-ALTERN ANIM EX,1868-596X,"1,413",5.787,4.918,,5.329,1.100,40,5.1,6.7,0.002210,1.204,90.00,88.768,,0.27070,
Q1,867,,Translational Stroke Research,TRANSL STROKE RES,1868-4483,"2,274",5.780,5.432,,5.003,2.397,68,4.1,8.1,0.004520,1.194,92.65,87.996,,0.55180,
Q1,868,,CHEMOSPHERE,CHEMOSPHERE,0045-6535,"94,793",5.778,5.201,,5.705,1.421,"2,371",5.9,7.3,0.090310,0.913,97.22,89.245,,11.01785,
Q1,869,,Emerging Microbes & Infections,EMERG MICROBES INFEC,****-****,"2,956",5.776,5.616,,6.197,0.973,150,2.7,6.5,0.009740,1.925,96.00,83.072,,1.18918,
Q1,870,,SEPARATION AND PURIFICATION TECHNOLOGY,SEP PURIF TECHNOL,1383-5866,"34,812",5.774,5.064,,5.257,2.244,"1,127",5.2,6.6,0.032840,0.814,98.31,89.161,,4.00674,
Q1,871,,Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,0179-5953,"2,315",5.767,5.733,,6.640,1.222,9,9.8,8.9,0.001370,1.220,0.00,90.358,,0.16727,
Q1,872,,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,0045-7825,"33,874",5.763,4.561,,5.697,1.773,577,10.0,9.2,0.041240,1.659,100.00,95.921,,5.03146,
Q1,873,,JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,1021-7770,"4,499",5.762,5.724,,4.724,1.076,92,5.7,7.3,0.006380,1.058,53.26,82.355,,0.77911,
Q1,873,,JOURNAL OF ECOLOGY,J ECOL,0022-0477,"20,912",5.762,5.352,,6.488,1.559,213,10.6,9.3,0.021330,2.086,97.65,92.289,,2.60329,
Q1,875,,Chinese Journal of Cancer,CHIN J CANCER,1000-467X,"2,330",5.760,5.760,,4.042,Not Available,0,5.6,Not Available,0.003700,0.937,Not Available,81.352,,0.45195,
